Word,Count
people,1688
art,1424
make,1188
use,1109
think,1062
using,976
going,916
thing,873
new,820
know,805
porn,784
time,780
generated,772
really,738
see,733
amp,714
intelligence,691
good,679
Ai,674
If,667
human,664
chatgpt,649
need,631
real,622
want,614
work,611
na,608
shit,597
What,594
way,584
This,577
artificial,573
voice,543
used,537
content,530
write,522
much,518
Google,518
GPT,506
us,503
world,493
You,488
future,488
made,475
take,469
chat,467
Chat,459
chatGPT,452
We,449
someone,448
making,447
A,445
say,424
things,423
right,419
gon,419
got,418
better,414
years,414
never,412
still,412
actually,411
many,402
don,392
Artificial,380
stuff,377
day,376
help,376
writing,373
technology,370
every,369
getting,369
tools,359
next,359
fucking,356
feel,355
already,353
love,346
tech,343
create,337
today,334
re,334
life,333
Seinfeld,332
ca,331
How,331
But,327
first,324
job,323
So,321
replace,320
humans,315
lot,310
jobs,307
look,306
tool,305
back,300
everyone,297
bad,293
data,290
Intelligence,287
without,287
around,287
best,286
My,281
artists,281
asked,281
They,276
deepfake,276
said,273
That,272
Just,271
anything,271
start,268
tell,268
character,268
everything,264
And,264
find,263
Twitter,263
talking,262
ask,262
text,261
stop,258
come,255
makes,250
anyone,249
always,248
trying,248
bot,246
ve,246
Do,244
big,244
person,243
year,242
In,242
There,241
point,240
give,239
idea,238
fuck,237
Is,234
hate,234
women,231
funny,230
become,229
put,229
learning,225
code,225
gpt,222
well,220
thought,220
understand,219
let,219
might,219
fake,217
OpenAI,217
fun,217
able,216
talk,216
internet,216
last,215
thinking,214
whole,214
long,213
generate,213
coming,211
keep,208
written,206
soon,206
learn,205
Why,204
cool,203
end,201
yet,201
game,200
great,200
No,199
instead,198
search,194
gt,193
taking,191
saying,187
model,187
money,186
bots,186
hard,186
lol,186
video,184
Can,184
change,184
business,184
enough,184
problem,183
With,182
When,182
believe,181
free,180
music,179
interesting,179
seen,179
try,178
People,175
deep,175
show,175
seinfeld,174
app,173
guys,173
artist,173
needs,173
please,173
literally,172
based,172
images,172
sure,171
two,170
TO,170
social,169
another,169
Now,169
months,169
created,169
days,168
seeing,168
company,167
media,165
working,165
ll,165
users,164
men,163
Not,163
wrong,163
started,162
questions,161
models,161
language,161
little,161
done,160
Like,160
hands,160
Here,159
question,159
Chatgpt,158
play,158
looking,158
hope,156
far,156
mean,156
read,155
image,155
